purchase_date,Income,log_income
5/30/2024,10.96,1.039810554
5/30/2024,9.195,0.963551734
5/30/2024,6.025,0.779957051
5/29/2024,4.445,0.647871765
5/29/2024,4.745,0.676236217
5/28/2024,6.745,0.828981954
5/27/2024,8.945,0.951580345
5/27/2024,4.645,0.666985718
5/27/2024,6.745,0.828981954
5/27/2024,6.395,0.805840549
5/27/2024,4.89,0.689308859
5/25/2024,9.195,0.963551734
5/24/2024,4.745,0.676236217
5/23/2024,4.645,0.666985718
5/22/2024,5.745,0.759290033
5/22/2024,10.96,1.039810554
5/22/2024,4.645,0.666985718
5/22/2024,6.945,0.84167225
5/22/2024,11.945,1.077186154
5/21/2024,6.305,0.799685091
5/21/2024,6.445,0.809222922
5/20/2024,9.195,0.963551734
5/20/2024,6.745,0.828981954
5/19/2024,9.195,0.963551734
5/19/2024,11.945,1.077186154
5/19/2024,8.745,0.941759814
5/18/2024,4.635,0.666049738
5/17/2024,6.945,0.84167225
5/17/2024,4.695,0.671635597
5/17/2024,6.11,0.78604121
5/16/2024,22.98,1.361350024
5/16/2024,4.345,0.637989781
5/15/2024,4.645,0.666985718
5/15/2024,6.745,0.828981954
5/14/2024,6.745,0.828981954
5/14/2024,6.745,0.828981954
5/14/2024,6.745,0.828981954
5/13/2024,6.745,0.828981954
5/13/2024,6.745,0.828981954
5/12/2024,6.745,0.828981954
5/12/2024,6.745,0.828981954
5/12/2024,6.745,0.828981954
5/12/2024,6.745,0.828981954
5/12/2024,10.97,1.040206628
5/11/2024,7.565,0.878808932
5/11/2024,4.645,0.666985718
5/11/2024,6.945,0.84167225
5/10/2024,6.945,0.84167225
5/8/2024,7.565,0.878808932
5/7/2024,6.745,0.828981954
5/7/2024,4.445,0.647871765
5/7/2024,6.445,0.809222922
5/6/2024,9.195,0.963551734
5/6/2024,6.445,0.809222922
5/6/2024,4.645,0.666985718
5/5/2024,4.445,0.647871765
5/5/2024,4.645,0.666985718
5/5/2024,9.195,0.963551734
5/4/2024,10.96,1.039810554
5/4/2024,26.42,1.421932813
5/4/2024,9.195,0.963551734
5/3/2024,6.605,0.819872822
5/3/2024,9.135,0.960708552
5/3/2024,9.135,0.960708552
5/3/2024,6.605,0.819872822
5/2/2024,7.565,0.878808932
5/2/2024,7.87,0.895974732
5/2/2024,9.135,0.960708552
5/1/2024,7.87,0.895974732
5/1/2024,1.985,0.297760511
5/1/2024,2.445,0.388278863
5/1/2024,6.745,0.828981954
5/1/2024,1.985,0.297760511
5/1/2024,7.87,0.895974732
5/30/2024,1.895,0.277609214
5/30/2024,1.245,0.095169351
5/30/2024,2.145,0.331427297
5/30/2024,1.645,0.216165902
5/30/2024,3.26,0.5132176
5/30/2024,1.33,0.123851641
5/30/2024,1.245,0.095169351
5/29/2024,1.975,0.2955671
5/29/2024,2.445,0.388278863
5/29/2024,2.145,0.331427297
5/29/2024,2.445,0.388278863
5/28/2024,1.975,0.2955671
5/28/2024,2.345,0.370142847
5/28/2024,1.245,0.095169351
5/28/2024,1.975,0.2955671
5/28/2024,1.995,0.2999429
5/28/2024,1.975,0.2955671
5/28/2024,1.245,0.095169351
5/27/2024,2.145,0.331427297
5/27/2024,1.895,0.277609214
5/27/2024,2.425,0.384711743
5/27/2024,1.975,0.2955671
5/27/2024,1.245,0.095169351
5/27/2024,2.345,0.370142847
5/26/2024,10.945,1.039215766
5/26/2024,2.145,0.331427297
5/26/2024,1.975,0.2955671
5/26/2024,2.145,0.331427297
5/26/2024,1.975,0.2955671
5/25/2024,1.975,0.2955671
5/25/2024,1.975,0.2955671
5/25/2024,1.245,0.095169351
5/25/2024,2.345,0.370142847
5/25/2024,1.995,0.2999429
5/25/2024,1.895,0.277609214
5/24/2024,1.33,0.123851641
5/24/2024,1.645,0.216165902
5/24/2024,24.98,1.397592434
5/24/2024,1.33,0.123851641
5/24/2024,3.26,0.5132176
5/24/2024,1.975,0.2955671
5/24/2024,1.245,0.095169351
5/24/2024,1.895,0.277609214
5/24/2024,2.145,0.331427297
5/24/2024,1.975,0.2955671
5/23/2024,1.975,0.2955671
5/23/2024,2.445,0.388278863
5/23/2024,2.04,0.309630167
5/23/2024,8.58,0.933487288
5/23/2024,2.425,0.384711743
5/23/2024,1.995,0.2999429
5/23/2024,1.895,0.277609214
5/23/2024,1.33,0.123851641
5/22/2024,1.895,0.277609214
5/22/2024,1.895,0.277609214
5/22/2024,1.995,0.2999429
5/22/2024,2.425,0.384711743
5/22/2024,1.895,0.277609214
5/22/2024,2.425,0.384711743
5/22/2024,2.145,0.331427297
5/22/2024,1.895,0.277609214
5/22/2024,1.895,0.277609214
5/22/2024,1.975,0.2955671
5/22/2024,1.245,0.095169351
5/21/2024,1.245,0.095169351
5/21/2024,2.425,0.384711743
5/21/2024,2.425,0.384711743
5/21/2024,1.995,0.2999429
5/20/2024,2.345,0.370142847
5/20/2024,1.33,0.123851641
5/20/2024,2.345,0.370142847
5/20/2024,1.245,0.095169351
5/20/2024,1.895,0.277609214
5/20/2024,1.645,0.216165902
5/20/2024,22.005,1.342521373
5/20/2024,1.33,0.123851641
5/20/2024,1.995,0.2999429
5/20/2024,1.975,0.2955671
5/19/2024,1.975,0.2955671
5/19/2024,1.975,0.2955671
5/19/2024,2.345,0.370142847
5/19/2024,1.945,0.288919606
5/19/2024,2.345,0.370142847
5/19/2024,2.345,0.370142847
5/19/2024,1.975,0.2955671
5/19/2024,1.975,0.2955671
5/18/2024,1.945,0.288919606
5/18/2024,1.245,0.095169351
5/18/2024,2.445,0.388278863
5/18/2024,7.9,0.897627091
5/18/2024,1.895,0.277609214
5/17/2024,2.345,0.370142847
5/17/2024,1.245,0.095169351
5/17/2024,7.58,0.879669206
5/17/2024,1.245,0.095169351
5/16/2024,1.975,0.2955671
5/16/2024,2.445,0.388278863
5/16/2024,2.345,0.370142847
5/16/2024,1.975,0.2955671
5/16/2024,1.995,0.2999429
5/16/2024,2.095,0.321184027
5/16/2024,1.245,0.095169351
5/16/2024,1.645,0.216165902
5/16/2024,1.845,0.26599637
5/16/2024,2.345,0.370142847
5/15/2024,1.33,0.123851641
5/15/2024,2.145,0.331427297
5/15/2024,1.895,0.277609214
5/15/2024,2.445,0.388278863
5/15/2024,1.975,0.2955671
5/15/2024,1.895,0.277609214
5/15/2024,1.895,0.277609214
5/15/2024,2.345,0.370142847
5/15/2024,1.995,0.2999429
5/15/2024,1.975,0.2955671
5/15/2024,1.245,0.095169351
5/14/2024,8.445,0.926599654
5/14/2024,1.245,0.095169351
5/14/2024,2.345,0.370142847
5/14/2024,1.895,0.277609214
5/14/2024,4.98,0.697229343
5/14/2024,2.145,0.331427297
5/14/2024,1.33,0.123851641
5/14/2024,1.245,0.095169351
5/14/2024,1.895,0.277609214
5/13/2024,2.345,0.370142847
5/13/2024,1.895,0.277609214
5/13/2024,1.945,0.288919606
5/13/2024,2.345,0.370142847
5/13/2024,2.445,0.388278863
5/13/2024,1.895,0.277609214
5/13/2024,1.975,0.2955671
5/13/2024,2.445,0.388278863
5/13/2024,5.32,0.725911632
5/13/2024,2.345,0.370142847
5/13/2024,2.445,0.388278863
5/13/2024,1.245,0.095169351
5/12/2024,8.945,0.951580345
5/12/2024,6.7,0.826074803
5/12/2024,1.33,0.123851641
5/12/2024,6.445,0.809222922
5/12/2024,6.245,0.795532443
5/12/2024,2.145,0.331427297
5/12/2024,1.895,0.277609214
5/12/2024,1.33,0.123851641
5/12/2024,6.445,0.809222922
5/11/2024,1.975,0.2955671
5/11/2024,2.425,0.384711743
5/11/2024,2.395,0.379305518
5/10/2024,1.975,0.2955671
5/10/2024,1.975,0.2955671
5/10/2024,6.445,0.809222922
5/10/2024,1.33,0.123851641
5/10/2024,2.425,0.384711743
5/10/2024,1.33,0.123851641
5/10/2024,1.895,0.277609214
5/10/2024,1.895,0.277609214
5/10/2024,1.33,0.123851641
5/10/2024,1.995,0.2999429
5/10/2024,2.445,0.388278863
5/10/2024,25.78,1.411282913
5/9/2024,1.245,0.095169351
5/9/2024,1.895,0.277609214
5/9/2024,2.445,0.388278863
5/9/2024,2.145,0.331427297
5/9/2024,8.58,0.933487288
5/9/2024,2.445,0.388278863
5/8/2024,6.445,0.809222922
5/8/2024,1.895,0.277609214
5/8/2024,2.145,0.331427297
5/8/2024,2.145,0.331427297
5/8/2024,2.145,0.331427297
5/8/2024,1.895,0.277609214
5/8/2024,1.245,0.095169351
5/8/2024,2.145,0.331427297
5/8/2024,1.945,0.288919606
5/7/2024,1.975,0.2955671
5/7/2024,1.245,0.095169351
5/7/2024,2.445,0.388278863
5/7/2024,2.445,0.388278863
5/7/2024,1.245,0.095169351
5/7/2024,2.425,0.384711743
5/6/2024,1.995,0.2999429
5/6/2024,6.445,0.809222922
5/6/2024,1.245,0.095169351
5/6/2024,2.345,0.370142847
5/6/2024,1.33,0.123851641
5/6/2024,1.245,0.095169351
5/6/2024,2.425,0.384711743
5/6/2024,1.245,0.095169351
5/6/2024,1.33,0.123851641
5/5/2024,2.445,0.388278863
5/5/2024,6.445,0.809222922
5/5/2024,1.995,0.2999429
5/5/2024,1.945,0.288919606
5/5/2024,6.445,0.809222922
5/5/2024,2.425,0.384711743
5/5/2024,2.425,0.384711743
5/5/2024,2.345,0.370142847
5/5/2024,1.245,0.095169351
5/5/2024,19.305,1.285669806
5/4/2024,6.445,0.809222922
5/4/2024,1.245,0.095169351
5/4/2024,1.415,0.15075644
5/4/2024,1.245,0.095169351
5/4/2024,1.645,0.216165902
5/4/2024,1.945,0.288919606
5/4/2024,1.945,0.288919606
5/3/2024,1.415,0.15075644
5/3/2024,1.975,0.2955671
5/3/2024,1.415,0.15075644
5/3/2024,1.945,0.288919606
5/2/2024,1.585,0.200029267
5/2/2024,1.995,0.2999429
5/1/2024,2.425,0.384711743
5/1/2024,2.345,0.370142847
5/1/2024,2.425,0.384711743
5/1/2024,1.245,0.095169351
5/1/2024,1.945,0.288919606
5/1/2024,2.345,0.370142847
5/1/2024,1.245,0.095169351
5/1/2024,1.245,0.095169351
5/1/2024,1.245,0.095169351
5/1/2024,1.975,0.2955671
5/21/2024,48.915,1.689442058
5/30/2024,7.475,0.873611197
5/30/2024,21.78,1.338057875
5/30/2024,5.445,0.735997884
5/30/2024,5.445,0.735997884
5/30/2024,10.745,1.03120642
5/29/2024,8.745,0.941759814
5/29/2024,5.445,0.735997884
5/29/2024,5.445,0.735997884
5/29/2024,5.445,0.735997884
5/29/2024,8.745,0.941759814
5/28/2024,5.445,0.735997884
5/28/2024,5.445,0.735997884
5/26/2024,21.78,1.338057875
5/25/2024,5.445,0.735997884
5/25/2024,5.445,0.735997884
5/24/2024,5.445,0.735997884
5/24/2024,5.445,0.735997884
5/24/2024,8.745,0.941759814
5/24/2024,5.445,0.735997884
5/24/2024,21.78,1.338057875
5/24/2024,5.445,0.735997884
5/23/2024,5.445,0.735997884
5/22/2024,5.445,0.735997884
5/22/2024,5.445,0.735997884
5/22/2024,5.445,0.735997884
5/21/2024,8.745,0.941759814
5/20/2024,5.445,0.735997884
5/19/2024,5.445,0.735997884
5/18/2024,5.445,0.735997884
5/18/2024,5.445,0.735997884
5/18/2024,5.445,0.735997884
5/17/2024,5.445,0.735997884
5/17/2024,8.745,0.941759814
5/16/2024,8.745,0.941759814
5/16/2024,8.745,0.941759814
5/14/2024,8.745,0.941759814
5/13/2024,5.445,0.735997884
5/13/2024,5.445,0.735997884
5/13/2024,5.445,0.735997884
5/12/2024,5.445,0.735997884
5/11/2024,5.445,0.735997884
5/11/2024,5.445,0.735997884
5/10/2024,5.445,0.735997884
5/10/2024,5.445,0.735997884
5/10/2024,21.78,1.338057875
5/9/2024,5.445,0.735997884
5/9/2024,5.445,0.735997884
5/9/2024,5.445,0.735997884
5/9/2024,5.445,0.735997884
5/8/2024,21.78,1.338057875
5/8/2024,5.445,0.735997884
5/8/2024,5.445,0.735997884
5/8/2024,5.445,0.735997884
5/7/2024,5.445,0.735997884
5/6/2024,5.445,0.735997884
5/5/2024,5.445,0.735997884
5/3/2024,5.445,0.735997884
5/2/2024,5.445,0.735997884
5/1/2024,5.445,0.735997884
5/30/2024,2.01,0.303196057
5/30/2024,5.895,0.770483809
5/30/2024,1.395,0.144574208
5/30/2024,6.1,0.785329835
5/30/2024,11.38,1.056142262
5/30/2024,4.45,0.648360011
5/30/2024,1.745,0.241795431
5/30/2024,15.78,1.198106999
5/30/2024,4.695,0.671635597
5/30/2024,3.25,0.511883361
5/30/2024,11.735,1.069483094
5/30/2024,11.735,1.069483094
5/30/2024,1.745,0.241795431
5/30/2024,9.7,0.986771734
5/30/2024,13.475,1.129528774
5/30/2024,9.925,0.996730515
5/30/2024,3.25,0.511883361
5/30/2024,9.925,0.996730515
5/30/2024,7.245,0.86003839
5/30/2024,7.035,0.847264102
5/30/2024,1.725,0.236789099
5/30/2024,1.745,0.241795431
5/30/2024,24.245,1.384622188
5/30/2024,12.845,1.108734109
5/30/2024,8.445,0.926599654
5/30/2024,14.995,1.17594647
5/30/2024,10.42,1.017867719
5/30/2024,3.165,0.500373714
5/30/2024,2.995,0.476396827
5/30/2024,3.945,0.596047008
5/30/2024,1.655,0.218797998
5/30/2024,7.245,0.86003839
5/30/2024,9.7,0.986771734
5/30/2024,1.745,0.241795431
5/30/2024,2.945,0.469085299
5/30/2024,2.92,0.465382851
5/30/2024,7.245,0.86003839
5/30/2024,11.735,1.069483094
5/30/2024,1.655,0.218797998
5/30/2024,10.42,1.017867719
5/30/2024,1.745,0.241795431
5/30/2024,4.675,0.669781615
5/30/2024,7.245,0.86003839
5/30/2024,11.735,1.069483094
5/30/2024,12,1.079181246
5/30/2024,1.745,0.241795431
5/30/2024,4.475,0.65079304
5/30/2024,1.395,0.144574208
5/30/2024,4.475,0.65079304
5/30/2024,4.695,0.671635597
5/30/2024,2.675,0.427323786
5/30/2024,11.98,1.078456818
5/30/2024,4.695,0.671635597
5/30/2024,2.715,0.433769834
5/30/2024,18.78,1.273695588
5/30/2024,1.395,0.144574208
5/30/2024,4.675,0.669781615
5/30/2024,1.645,0.216165902
5/30/2024,1.465,0.165837625
5/30/2024,1.38,0.139879086
5/30/2024,5.86,0.767897616
5/30/2024,7.245,0.86003839
5/30/2024,7.245,0.86003839
5/30/2024,4.645,0.666985718
5/30/2024,10.205,1.008813009
5/30/2024,11.735,1.069483094
5/30/2024,1.745,0.241795431
5/30/2024,1.995,0.2999429
5/30/2024,1.395,0.144574208
5/30/2024,3.945,0.596047008
5/30/2024,1.395,0.144574208
5/30/2024,15.58,1.192567453
5/30/2024,1.995,0.2999429
5/30/2024,2.675,0.427323786
5/30/2024,4.695,0.671635597
5/30/2024,12.845,1.108734109
5/30/2024,1.495,0.174641193
5/30/2024,1.745,0.241795431
5/30/2024,1.395,0.144574208
5/30/2024,18.475,1.266584447
5/30/2024,12.46,1.095518042
5/30/2024,1.76,0.245512668
5/30/2024,1.995,0.2999429
5/30/2024,1.76,0.245512668
5/30/2024,1.645,0.216165902
5/30/2024,4.985,0.697665163
5/30/2024,7.245,0.86003839
5/30/2024,4.475,0.65079304
5/30/2024,4.695,0.671635597
5/30/2024,3.34,0.523746467
5/30/2024,4.425,0.645913275
5/30/2024,3.645,0.561697533
5/30/2024,3.945,0.596047008
5/30/2024,1.395,0.144574208
5/30/2024,17.425,1.241172787
5/30/2024,10.58,1.024485668
5/30/2024,1.395,0.144574208
5/30/2024,15.78,1.198106999
5/30/2024,1.745,0.241795431
5/30/2024,11.925,1.076458388
5/30/2024,1.745,0.241795431
5/30/2024,6.225,0.794139356
5/30/2024,9.7,0.986771734
5/30/2024,1.395,0.144574208
5/30/2024,1.645,0.216165902
5/30/2024,2.675,0.427323786
5/30/2024,7.395,0.868938178
5/30/2024,1.745,0.241795431
5/30/2024,2.675,0.427323786
5/30/2024,9.7,0.986771734
5/30/2024,3.645,0.561697533
5/30/2024,3.25,0.511883361
5/30/2024,6.935,0.841046465
5/30/2024,9.99,0.999565488
5/30/2024,4.245,0.627877695
5/30/2024,1.745,0.241795431
5/30/2024,3.945,0.596047008
5/30/2024,12.445,1.094994901
5/30/2024,1.995,0.2999429
5/30/2024,1.645,0.216165902
5/30/2024,1.745,0.241795431
5/30/2024,10.42,1.017867719
5/30/2024,12.46,1.095518042
5/30/2024,4.675,0.669781615
5/30/2024,12.5,1.096910013
5/30/2024,4.28,0.631443769
5/30/2024,1.745,0.241795431
5/30/2024,1.495,0.174641193
5/30/2024,1.745,0.241795431
5/30/2024,1.745,0.241795431
5/30/2024,12.845,1.108734109
5/30/2024,8.975,0.953034457
5/30/2024,4.695,0.671635597
5/30/2024,9.7,0.986771734
5/30/2024,1.745,0.241795431
5/30/2024,3.175,0.50174373
5/30/2024,1.745,0.241795431
5/30/2024,3.945,0.596047008
5/30/2024,6.745,0.828981954
5/30/2024,4.425,0.645913275
5/30/2024,6.745,0.828981954
5/30/2024,11.925,1.076458388
5/30/2024,26.28,1.419625361
5/30/2024,13.185,1.120080134
5/30/2024,1.645,0.216165902
5/30/2024,1.76,0.245512668
5/30/2024,12.445,1.094994901
5/30/2024,7.245,0.86003839
5/30/2024,1.645,0.216165902
5/30/2024,10.42,1.017867719
5/30/2024,12.46,1.095518042
5/30/2024,8.895,0.949145952
5/30/2024,12.845,1.108734109
5/30/2024,4.695,0.671635597
5/30/2024,18.7,1.271841607
5/30/2024,3.25,0.511883361
5/30/2024,1.76,0.245512668
5/30/2024,1.745,0.241795431
5/30/2024,4.4,0.643452676
5/30/2024,3.645,0.561697533
5/30/2024,3.25,0.511883361
5/30/2024,4.695,0.671635597
5/30/2024,6.245,0.795532443
5/30/2024,7.945,0.900093902
5/30/2024,1.995,0.2999429
5/30/2024,1.395,0.144574208
5/30/2024,8.975,0.953034457
5/30/2024,9.98,0.999130541
5/30/2024,1.745,0.241795431
5/30/2024,3.945,0.596047008
5/30/2024,3.945,0.596047008
5/30/2024,7.95,0.900367129
5/30/2024,3.25,0.511883361
5/30/2024,2.745,0.438542349
5/30/2024,4.695,0.671635597
5/30/2024,1.745,0.241795431
5/30/2024,6.225,0.794139356
